id,value
id_0,25
id_1,61
id_2,19
id_3,29
id_4,11
id_5,37
id_6,38
id_7,17
id_8,48
id_9,35
id_10,39
id_11,59
id_12,34
id_13,44
id_14,27
id_15,11
id_16,54
id_17,22
id_18,20
id_19,21
id_20,15
id_21,29
id_22,37
id_23,8
id_24,58
id_25,47
id_26,28
id_27,8
id_28,30
id_29,36
id_30,19
id_31,12
id_32,16
id_33,8
id_34,18
id_35,39
id_36,19
id_37,27
id_38,8
id_39,62
id_40,48
id_41,16
id_42,50
id_43,18
id_44,47
id_45,50
id_46,61
id_47,40
id_48,53
id_49,44
id_50,30
id_51,26
id_52,39
id_53,25
id_54,39
id_55,39
id_56,26
id_57,22
id_58,39
id_59,30
id_60,16
id_61,20
id_62,31
id_63,57
id_64,50
id_65,27
id_66,43
id_67,53
id_68,29
id_69,39
id_70,64
id_71,53
id_72,43
id_73,12
id_74,13
id_75,36
id_76,62
id_77,3
id_78,42
id_79,41
id_80,8
id_81,22
id_82,8
id_83,33
id_84,11
id_85,6
id_86,16
id_87,11
id_88,13
id_89,27
id_90,32
id_91,12
id_92,13
id_93,7
id_94,38
id_95,16
id_96,15
id_97,10
id_98,11
id_99,3
id_100,13
id_101,20
id_102,12
id_103,7
id_104,14
id_105,38
id_106,29
id_107,8
id_108,16
id_109,17
id_110,15
id_111,18
id_112,13
id_113,29
id_114,24
id_115,16
id_116,8
id_117,45
id_118,29
id_119,1
id_120,3
id_121,12
id_122,16
id_123,16
id_124,7
id_125,26
id_126,20
id_127,14
id_128,21
id_129,19
id_130,5
id_131,38
id_132,13
id_133,24
id_134,25
id_135,20
id_136,11
id_137,18
id_138,80
id_139,62
id_140,27
id_141,18
id_142,26
id_143,8
id_144,12
id_145,11
id_146,20
id_147,8
id_148,14
id_149,17
id_150,52
id_151,22
id_152,26
id_153,16
id_154,13
id_155,27
id_156,23
id_157,35
id_158,4
id_159,20
id_160,44
id_161,19
id_162,58
id_163,20
id_164,36
id_165,24
id_166,22
id_167,1
id_168,65
id_169,18
id_170,17
id_171,68
id_172,23
id_173,2
id_174,22
id_175,3
id_176,6
id_177,18
id_178,21
id_179,22
id_180,44
id_181,26
id_182,28
id_183,12
id_184,11
id_185,41
id_186,36
id_187,35
id_188,17
id_189,23
id_190,15
id_191,14
id_192,34
id_193,78
id_194,29
id_195,12
id_196,63
id_197,14
id_198,20
id_199,24
id_200,131
id_201,26
id_202,62
id_203,5
id_204,62
id_205,38
id_206,19
id_207,14
id_208,67
id_209,14
id_210,29
id_211,69
id_212,21
id_213,115
id_214,42
id_215,77
id_216,97
id_217,70
id_218,29
id_219,16
id_220,30
id_221,55
id_222,29
id_223,39
id_224,43
id_225,9
id_226,5
id_227,71
id_228,30
id_229,2
id_230,38
id_231,15
id_232,22
id_233,10
id_234,10
id_235,24
id_236,12
id_237,1
id_238,21
id_239,1
